Eksiklik teoremi	Yinelgen
2004 Eurovision Şarkı Yarışması	Abdi İpekçi Arena
Omri	Yehuda Krallığı
Kıbrıs Cumhuriyeti'nde bulunan siyasal partiler listesi	Kuzey Kıbrıs'ta bulunan siyasal partiler listesi
Biyoplazma	Kirlian fotoğrafçılığı
Ekonomi tarihi	Büyük Buhran
Otozomlar	Eşey kromozomları
POMZ	Ottawa Antlaşması
Dışavurumculuk	Alman Dışavurumculuğu
Maddenin halleri	Erime
Sarkel	Hazarlar
Dede	Alevilik
Hertzsprung-Russell diyagramı	Renk-renk çizeneği
MP3	Winamp
Kaknüs kuşu	Simurg (mitoloji)
Yarı-Başkanlık sistemi	Başkanlık sistemi
Yehuda kabilesi	Kayıp On Kabile
Operadaki Hayalet (film, 2004)	The Phantom of the Opera
Fluxus	Kavramsal sanat
TKP-ATILIM	TKP
FIFA Dünya Kupası golcüleri	FIFA World Cup, goals with disputed scorers
Tıp etiği	Kürtaj
Eşcinsel	ILGA
Arecibo mesajı	Voyager Golden Record
Graffiti	Görsel Sanatlar
Odunpazarı, Eskişehir	Eskişehir (şehir)
Tanınmayan veya kısmen tanınmayan devletler listesi	Sürgündeki hükümetler
Peter Gustav Lejeune Dirichlet	Dirichlet prensipleri
Haram	Mekruh
Doksisiklin	Antibiyotik
Meryem (İsa'nın annesi)	Efes, İzmir
Mil Mi-17	Mil Moskova Helikopter Fabrikası
Demiryolu kazaları listesi (2000-2009)	Hemzemin geçit kazaları listesi
Çepniler	Oğuz
Tetikçi (film, 2006)	Adrenalin
Peter Gustav Lejeune Dirichlet	Fonksiyonal analiz
Orphe ve Eurydice	Christoph Willibald Gluck
Wilhelm Frick	Ernst Röhm
Güney Kore	Kore
Pön savaşları	Kartaca
Gezegenbilim	Planemo
Olasılık dağılımı	Olasılık yoğunluk fonksiyonu
Avrupa Posta ve Telekomünikasyon İdareleri Birliği	Dünya Posta Birliği
Temel birim	Elektromanyetik Birimler
Maddecilik	Diyalektik Materyalizm
1981 UEFA Kupası Finali	UEFA Kupası 1980-81
Sovyet Ligi	Sovyetler Birliği
20. Yüzyıl Dünya Takımı Kadrosu	International Federation of Football History & Statistics
P2 Mk2 mayını	Ottowa Antlaşması
Seyfert Altılısı	Stephan Beşlisi
Tebessümler Diyarı	Franz Lehar
Güllü Erhan	Memati Baş
İskitler	Sakalar
Televizyon	Türkiye'de televizyon
Türkiye'nin Avrupa Birliği üyeliği süreci	17 Aralık Türkiye-AB Müzakereleri
BTR-60	BTR-4
Lezbiyen	Chapstick lezbiyen
Charles Bukowski	Hollywood (roman)
Enduro motosiklet	Spor motosiklet
Şahane Hayat (film)	Film renklendirme
Güneş arabaları	SAGUAR
Aristokrasi	Beyaz yakalılar
Football League One	Football League Division Three
Yevgeni Onegin (Opera)	Peter İlyiç Çaykovski
Astrobiyoloji	UFO
BK virüs	JC virüs
Gök katları	Yaşam ağacı
Boşluğun Empedansı	Elektromanyetik alanlar
Elektromanyetik tayf	Dalgaboyu
Yunanlar	Yunanistan
Sevgi	Merhamet (Neo-spiritüalizm'de)
Gaziantep	Gaziantep (il)
XMMXCS 2215-1738	XCS
Kök (matematik)	Sıfır (karmaşık analiz)
Mack Sennett	Sessiz film
Stereofoni (FM)	Stereo
Anomer	Haworth projeksiyonu
Nora Roberts	Nora Roberts Kitap Listesi
Sovyet Ligi	Yüksek Deste
Kalibrasyon	Elektronik mühendisliği
Mercedes-Benz	Mercedes-Benz Türk
Standart Çince	Çince
Kiryakos Triantafillidis	2004 Avrupa Parlamentosu seçimleri (Kıbrıs Cumhuriyeti)
Öngütler	Naymanlar
Pessinus	Frigya
Faktöriyel moment	Faktöriyel moment üreten fonksiyon
Galatasaray Üniversitesi	GSÜ Sözlük
İ sayısı	Alfred Tarski
4. Afife Tiyatro Ödülleri	Afife Tiyatro Ödülleri
Türkiye İhtilalci İşçi Köylü Partisi	Sosyalist Parti (Türkiye)
Arife Hanım	Kafzade Abdülhay Çelebi
Pixel shader	Geometry shader
AK-47	AK-107
Külkedisi (opera)	Külkedisi
Vladimir Vladimiroviç Mayakovski	Fütürizm
Ali Koç	Fenerbahçe Spor Kulübü
Belit	Önermeler mantığı
Furanoz	Piranoz
Bangalore	Hindistan'daki şehirler listesi
1993 UEFA Kupası Finali	UEFA Kupası 1992-93
Kısa dalga radyo	Radyo dalgaları
Demokrasi	Yürütme
Çelik (anlam ayrımı)	Özdemir
Işık verimi	Göz
Türk Kültür ve Sanatları Ortak Yönetimi	Türk Devlet ve Toplulukları Dostluk Kardeşlik ve İşbirliği Kurultayı
Kolugo	Filipin uçan lemuru
Navier-Stokes denklemleri	Akışkan
Karyotip	Kromozomlar
PRK	Mercek
Sodyum hipoklorit	Kalsiyum hipoklorit
İran Nükleer Programı	Nükleer silah
Panssarimiina m/36	Kara mayınları listesi
Modülasyon	Genlik Modülasyonu
Nobel Ödülü	Ig Nobel ödülleri
Anadolu	Arzava
Çocuk Barış Anıtı	Hiroşima Tanığı
Realite	Vicdan
Emeviler	Emevi Halifeler listesi
İbranice	Samarit İbranicesi
BTR-60	BTR-94
Sermaye	Capitalism
Torugart Geçiti	İrkeştam Geçiti
Kosova'daki Türkler	Balkanlar
Spelling Television	Aaron Spelling
Gheorghe Zamfir	Panflüt
Üretra	İç üretra deliği
Eskişehirspor 2009-2010 sezonu	Eskişehir Atatürk Stadı
Ulusal marş	İstiklâl Marşı
MAT-76 mayını	Kara mayınları listesi
Organik hidrosol	Organik şampuan
Famarin	Fare zehiri
Göksel Baktagir	Makam (müzik)
Türk tarihi	Kurtuluş Savaşı
Pax Romana	Pax Syriana
Hubal	Miraç
İsmail Hakkı Tonguç	Hasan Ali Yücel
Miyofibril	Aktin
Modern evrimsel sentez	Biyolojik Evrim
Konstantinopolis Kuşatması (1204)	Konstantinopolis Kuşatması (1203)
Demokles	Demokles'in kılıcı
Anarka-feminizm	Feminizm
D-20	Obüsler listesi
Türkiye'deki televizyon kanalları listesi	Türkiye'deki yöresel kanallar listesi
Ömer bin Abdülaziz	Emevi Halifeler listesi
Genetik	Gen aktarımı
Ontoloji	Saul Kripke
FIBA Dünya Basketbol Şampiyonası	Dünya Basketbol Şampiyonası 2006 (kadrolar)
İndüklenmiş sürükleme	Parazit sürükleme
Yerel kabarcık	Orion kolu
Leylekler Uçarken (film)	Proşçaniye Slavyanki
H.264/MPEG-4 AVC	Codec
Ölümden sonra yaşam	Mistisizm
Bargaining, Part Two	Buffy the Vampire Slayer bölümleri listesi
Fikobilin	Karotenoid
NOD32	Antivirüs yazılımı
Yahudilerin Arap topraklarından toplu göçü	Yahudi nüfusu
Suyılanı kümesi	Suyılanı-Erboğa Süperkümesi
Sermaye	Factors of production
Kök testi	Yakınsak seriler
Osmanlı Devleti'nde mühendislik	Mühendishane-i Berr-i Hümayun
Robert Hardy	Harry Potter filmlerindeki oyuncuların listesi
Freedom House	İnsan hakları
Çigong	Beş Hayvan Oyunu
Tek katlı prizmatik epitel	Çok katlı değişici epitel
Timothy Leary	Psychedelics
Meclis-i Mebusan	1877 Mart-Haziran Osmanlı Meclis-i Mebusanı
Yugoslavya’nın Dağılması	Bosna Savaşı
Bayındır boyu	Akkoyunlular
İtaat	Vicdan azâbı
Anadolu	Lidya
Biseksüeller listesi (N-Ş)	Biseksüeller listesi (T-Z)
Yapay dil	Baleybelen
Burç (takımyıldız)	Yıldız Haritası
Fritz Sauckel	Erich Raeder
Karl Marx	Marksizm
1974 FIFA Dünya Kupası elemeleri (UEFA)	1974 FIFA Dünya Kupası Elemeleri (AFC ve OFC)
DKM Deutschland	Alman Cep Zırhlısı Amiral Graf Spee
Munzur Vadisi	Munzur Vadisi Millî Parkı
Saygılı Yosma	Bülbülü Öldürmek (roman)
Hiroşima Barış Anıtı	Hiroşima Tanığı
Kolmogorov-Smirnov sınaması	Normallik sınamaları
Trabzonspor 2007-08 sezonu	Trabzonspor
Çin Halk Cumhuriyeti	Çin Halk Cumhuriyeti'nin 56 resmî etnik grubu
İç Moğolistan	Guangxi
Küme	Öğe
M240 makineli tüfek	M249 Takım Otomatik Silahı
Phorminx	Barbitos
Nesne yönelimli çözümleme ve tasarım	CORBA
Juan Almeida Bosque	Domuzlar Körfezi Çıkarması
Podolya Guberniyası	Podolya
Doğu Türkistan	Uygur Kağanlığı
Kıbrıs'taki Yahudilerin tarihi	İngiliz Milletler Topluluğu
Jainizm	Delhi'de Jainizm
Halkın Mücahitleri Örgütü	Arms sales to Iraq 1973-1990
Avusturya Lisesi	Osmanlı Devleti'nde Misyonerlik
State of Emergency (video oyunu)	State of Emergency II
Roma köprüleri listesi	Roma mimarisi
Din sosyolojisi	Yümni Sezen
Simple Portal	XOOPS
Hukuki pozitivizm	Hukuki gerçekçilik
Şehristan	Ostan
Proletarya	Kölelik
Freedom House	Freedom House Dünya Özgürlük Raporu
Kıbrıs pasaportu	Kıbrıs vatandaşlarının vize durumu
VIII. Mikhail Palaiologos	Bizans imparatorları (liste)
Aristokrasi	Üst sınıf
Yumurtalık	Adetten kesilme
Katil Doğanlar (film)	Bonnie and Clyde
Viracocha	Manco Capac
Günahların Bekçisi	Rosemary'nin Bebeği (film)
Apollo Projesi	Apollo Uzay Aracı
Lüksemburg Kontu	Opera
Şefkat	Vicdan
USS George Washington (SSBN-598)	ABD Deniz Kuvvetleri balistik füze denizaltıları
Hizmet Modülü	Ay Örümceği
Gen duplikasyonu	Psödogenler
İntegral	Belirli integral
Halka bulutsusu	Gezegenimsi bulutsular
Piyaz	Türk mutfağı/Salatalar listesi
Fransız Sömürge İmparatorluğu	Sömürgecilik
Büyük Beyaz Filo	Theodore Roosevelt
Tek katlı prizmatik epitel	Tek katlı yassı epitel
Marmara Denizi	Türk Boğazları
V for Vendetta (film)	Barut komplosu
Moskova Antlaşması	Ali Fuat Paşa
Sayısal fotoğrafçılık	Ham görüntü formatı
Peter Gustav Lejeune Dirichlet	Latent Dirichlet allocation
Beri şinel	Nam nujna odna pobeda
Yahudi Aramicesi	Aramice
Komuta Modülü	Hizmet Modülü
Çok katlı yassı epitel	Yalancı çok katlı epitel
Katana	Japon Kılıcı Terminolojisi
Samanyolu'nun uydu gökadaları	Yerel küme
Stream	Bayt akımı
Plehve	Sergei Vasilyevich Zubatov
Üstlük	Altlık
Karesel genlik modülasyonu	NTSC
Kalsiyum format	Formik asit
Pies descalzos	Brezilya'nın en çok satan albümleri
Sarayburnu	Topkapı Sarayı
Refah devleti	Refah ekonomisi
Baz çifti	DNA
Demokrasi	Yönetim biçimleri
İdeoloji	Kapitalizm
Sovyet partizanları	Gerilla savaşı
Nükleik asit melezleme yöntemleri	Rekombinant DNA teknolojisi
Amorium	Gordion
NGC 1097	NGC 1232
Murasame sınıfı refakat gemisi	Deniz Öz Savunma Kuvvetleri savaş gemileri listesi
Type 99 mayını	Kara mayınları listesi
Kuşadası, Aydın	Türk Rivierası
Toronto Huskies	Toronto Raptors
Pardus 2008.1 Hyaena hyaena	Pardus 2008
Polat Alemdar	Kurtlar Vadisi
Hollywood (roman)	Charles Bukowski
Ermeni-Azeri Savaşı	Karabağ Savaşı
Türkiye biteyi	Türkiye biteyi, Fraxinus
Karsinom	Kanser
Elektrokimya	List of important publications in chemistry
Peter Gustav Lejeune Dirichlet	Dirichlet formu
Türk edebiyatında şiir	Servet-i Fünun
5. SS Panzer Tümeni "Wiking"	Waffen SS tümenleri
Kedah Sultanları listesi	Malezya
İspanya'daki havalimanları listesi	AENA
Çok katlı yassı epitel	Örtü epiteli
Nikolay Rimski-Korsakov	Tikhvin Mezarlığı
Koçgiri aşireti	Koçgiri'de dil
Türkiye Komünist Fırkası	Türkiye Komünist Partisi (1920)
1954 Türkiye Cumhuriyeti Milletvekili Genel Seçimleri	1954 Türkiye Cumhuriyeti Milletvekili Genel Seçimleri - Afyon
Koguryo	Salsu Muharebesi
M6 Fargo	II. Dünya Savaşı zırhlı araç listesi
Charles	Charlie
Mankala	Dokuz kumalak
Fotoğrafçılık	Kırılma
Din sosyolojisi	Din Bilimleri
Top R&B/Hip-Hop Albums	Billboard (dergi)
Eğitim	Eğitim Bilimleri
APM serisi parça tesirli yönsel mayınlar	Mayın
Birleşik Krallık-Kıbrıs Cumhuriyeti ilişkileri	Türk asıllı İngilizler
Olsen Brothers	Eurovision Şarkı Yarışması
UEFA Şampiyonlar Ligi 1993-94	UEFA Kupası 1993-94
Panzerkampfwagen I	II. Dünya Savaşı Zırhlı Araç Listesi
Karl Shuker	Kanatlı Kediler
Sare	Kantura
Köy Enstitüleri	İsmail Hakkı Tonguç
Karar verme	Risk yönetimi
Monohibrit çaprazlama	Çaprazlama
Cotonou	Cotonou Anlaşması
Near East (savaş oyunu)	İngiliz-Irak Savaşı
Peter Gustav Lejeune Dirichlet	Cebrik sayılar teorisi
Çelik (anlam ayrımı)	Demirali
Slovenya tarihi	II. Dünya Savaşı
Red Deer (Alberta)	Alberta
Postkognisyon	Akaşik kayıtlar
Artuklu Beyliği	Artuklu beyleri listesi
Dresden Bombardımanı	Tokyo Bombardımanı
Yahudi Yemen Arapçası	Yahudi Irak Arapçası
Hasan el-Benna	Seyyid Kutub
IV. İvan (Rusya)	İvan Vasileviç İşini Değiştiriyor (film)
Kaknüs kuşu	Tuğrul (kuş)
Muzaffer Tekin	Veli Küçük
Değişen yıldız belirtmesi	Yıldız kataloğu
Cascina Savaşı (Michelangelo)	Anghiari Savaşı (tablo)
Volkssturm	Wachdienst
Pardus 2008.2 Canis aureus	Pardus 2008
Judson Laipply	YouTube
Arena	Arenas
Matematiksel analiz	Harmonik analiz
Hidroksit	Hidroksill
Tersine mühendislik	Antikythera mechanism
Isı pompası	Kompresör
Gül Baba (opera)	Gül Baba
FMK-3 mayını	Kara mayınları listesi
DVD+R	DVD+R DL
Gelibolu, Çanakkale	Çanakkale Savaşları
Mira Krallığı	Lidya
Mir	Salyut
Benito Mussolini	Milliyetçilik
Avrupa Birliği'nin dış ilişkileri	Akdeniz İçin Birlik
Galaksi	Teker (galaksi)
Alel	Gen
Bulunduğumuz Yol	ABD 1974 yılı 1 numara şarkıları
Sovyetler Birliği Marşı	Rusya Federasyonu Ulusal Marşı
Ahmet Yesevi	Ahmet Yesevi Üniversitesi
Yakın gökadalar dizini	Gökadalar dizini
KAO döngüsü	Üç-alfa süreci
Pir Sultan Abdal Kültür Derneği	Sivas Katliamı
Vecd	Astral seyahat
Yeni Türk lirası	Yeni Kuruş
Klein-Gordon denklemi	Schrödinger denklemi
Kendiliğinden imajinasyon	Dezenkarnasyon
Geometrik seri	Geometrik ilerleme
Monolit	Monolitik
Milan Tanksavarı	ERYX
Don Pasquale	Gaetano Donizetti
Aralık tahmini	Çıkarımsal istatistik
Diablo	Diablo 3
Köchel Dizini	Wolfgang Amadeus Mozart
Çakıl mayınlar	Mayın
TMA-2 mayını	Mayın
Çok katlı yassı epitel	Çok katlı yassı epitel
Temel kuvvet	James Clerk Maxwell
Mem	Tanrı Yanılgısı
Türk şarkıcıları ve müzisyenleri listesi	Türk kültürü
Tardiv diskinezi	Diskinezi
Türk edebiyatında şiir	Epik Şiir
Kelt mitolojisi	Triskele
Normandiya	Normanca
Médecins Sans Frontières	Nobel Barış Ödülü sahipleri
TM-44 mayını	Tanksavar mayını
Mk 2 mayını	Mayın
Wilhelm Frick	Robert Wagne
Parçacık listesi	Standart Model
Gökada kümeleri dizini	Samanyolu
Matematiksel gösterim	Matematiksel sembollerin tablosu
Shōjo	Josei
Peçenekler	Türk Boylarının Tamgaları
Kremlin Duvarı Mezarlığı	Lenin’in Mozolesi
Sekizinci Alışkanlık (kitap)	Popüler iş kitapları listesi
Yağ doku	Pigment doku
Adil Bey Holding	Doğan Holding
Güney Avustralya	Adelaide Sanat Festivali
Karanlık madde	Karanlık enerji
Göreme, Nevşehir	Göreme'deki Kiliseler
Japonya'daki Tatar ve Başkurt toplulukları	Tokyo Camii
Samvel Babayan	Şuşa Muharebesi
Yılbaşı	Türkiye'de Yılbaşı
Feldspat	Kalkosodik
Myron Scholes	Ekonomistler listesi
Lişan Didan	Musevi dilleri
Abraham Lincoln	Yeniden yapılanma dönemi (1865-1877)
Kapalı tohumlular	İki çenekliler
Hindistan'ın eyaletleri ve birlik bölgeleri	Hindistan'daki şehirler listesi
Makin Adası Baskını	Makin Muharebesi
Hindiçin	Doğu Hint Adaları
Gelibolu sınıfı fırkateyn	Türk Deniz Kuvvetleri
Peynir	Mandıra ürünü
Anadolu Yakası	İstanbul'un ilçeleri
Werner Kempf	Kursk Savaşı
Vo Nguyen Giap	Vietnam Savaşı
Kanatlardan kuşatma	Altı gün savaşı
Aleksey Botvinyev	Rusya Premier Ligi
III. Tiberius	Bizans imparatorları
Rüştü Paşa	Kurtuluş Savaşı'na katılan üst kademelerdeki komutanlar
Apl.de.ap	The Black Eyed Peas
Said Nursî	Risale-i Nur
Kutuplar	Dünya
Marder II	II.DS sırasında Almanya tank üretimi
Stephan Beşlisi	Robert Dörtlüsü
DVD+R	MiniDVD
Endülüs	Endülüs Emevi Devleti
Ekstrapolasyon	Regresyon
Mina Anna Mazzini	Sezen Cumhur Önal
Walter Model	Gerd von Rundstedt
Deniz Öz Savunma Kuvvetleri savaş gemileri listesi	Japon İmparatorluk Deniz Kuvvetleri savaş gemileri listesi
Mezopotamya	Sümer
Önvurgu	Elektronik filtre
Balmumu	Balmumu heykel
Peter Gustav Lejeune Dirichlet	Dirichlet tessellation
Kirk Douglas	Spartaküs (film)
Dayito	Taçi
NGC 5010	NGC 4261
Aralık tahmini	Güven aralığı
Konstantinopolis Kuşatması (1235)	Konstantinopolis Kuşatması (1203)
Irmak kümesi	Ocak kümesi
Yunanca	Yevanik
Yapay dil	İdo dili
İstanbul'un tarihi	Antik Yunanistan
Zeta dağılımı	Pareto dağılımı
Tuğba Daşdemir	2010 Kış Olimpiyatları/Türkiye
Sina ve Filistin Cephesi	Birinci Gazze Muharebesi
